customer_id;checking_account;duration_moonths;credit_history;purpose;credit_amount;savings;present_employment_since;installment_rate;personal_status_sex;other_deptors;present_residence;property;age_yearsyears;other_installment_plans;housing;existing_credits;job;people_liable_maintenance;telephone;foreign_worker;response
1;... <  0 euro;6;critical account/other credits existing (not at this bank);radio/television;1169;unknown/ no savings account;.. >= 7 years;4;male   : single;none;4;real estate;67;none;own;2;skilled employee / official;1;yes, registered under the customers name;yes;0
2;0 <= ... <  102 euro;48;existing credits paid back duly till now;radio/television;5951;... <  51 euro;1  <= ... < 4 years;2;female : divorced/separated/married;none;2;real estate;22;none;own;1;skilled employee / official;1;none;yes;1
3;No checking account;12;critical account/other credits existing (not at this bank);education;2096;... <  51 euro;4  <= ... < 7 years;2;male   : single;none;3;real estate;49;none;own;1;unskilled - resident;2;none;yes;0
4;... <  0 euro;42;existing credits paid back duly till now;furniture/equipment;7882;... <  51 euro;4  <= ... < 7 years;2;male   : single;guarantor;4;(if not real estate) building society savings agreement/ life insurance;45;none;for free;1;skilled employee / official;2;none;yes;0
5;... <  0 euro;24;delay in paying off in the past;caar (new);4870;... <  51 euro;1  <= ... < 4 years;3;male   : single;none;4;unknown / no property;53;none;for free;2;skilled employee / official;2;none;yes;1
6;No checking account;36;existing credits paid back duly till now;education;9055;unknown/ no savings account;1  <= ... < 4 years;2;male   : single;none;4;unknown / no property;35;none;for free;1;unskilled - resident;2;yes, registered under the customers name;yes;0
7;No checking account;24;existing credits paid back duly till now;furniture/equipment;2835;255 euro <= ... < 511 euro;.. >= 7 years;3;male   : single;none;4;(if not real estate) building society savings agreement/ life insurance;53;none;own;1;skilled employee / official;1;none;yes;0
8;0 <= ... <  102 euro;36;existing credits paid back duly till now;car (used);6948;... <  51 euro;1  <= ... < 4 years;2;male   : single;none;2;(if not optin 1 or 2) car or other, not in attribute;35;none;rent;1;management/ self-employed/highly qualified employee/ officer;1;yes, registered under the customers name;yes;0
9;No checking account;12;existing credits paid back duly till now;radio/television;3059;.. >= 511 euro;4  <= ... < 7 years;2;male   : divorced/separated;none;4;real estate;61;none;own;1;unskilled - resident;1;none;yes;0
10;0 <= ... <  102 euro;30;critical account/other credits existing (not at this bank);car (new);5234;... <  51 euro;unemployed;4;male   : married/widowed;none;2;(if not optin 1 or 2) car or other, not in attribute;28;none;own;2;management/ self-employed/highly qualified employee/ officer;1;none;yes;1
11;0 <= ... <  102 euro;12;existing credits paid back duly till now;car (new);1295;... <  51 euro;... < 1 year;3;female : divorced/separated/married;none;1;(if not optin 1 or 2) car or other, not in attribute;25;none;rent;1;skilled employee / official;1;none;yes;1
12;... <  0 euro;48;existing credits paid back duly till now;business;4308;... <  51 euro;... < 1 year;3;female : divorced/separated/married;none;4;(if not real estate) building society savings agreement/ life insurance;24;none;rent;1;skilled employee / official;1;none;yes;1
